Timestamp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
1 hr,50,30,20,300,200,300,85.723,0.11,0.8,234.5,24.767,66.771,21.495
2 hr,50,30,20,300,200,300,85.723,0.11,0.8,234.5,24.767,66.771,21.495
3 hr,49.992,30,20,300,200,300,85.723,0.109,0.796,234.5,24.767,66.771,21.495
4 hr,49.969,30,20,300,200,300,85.657,0.109,0.792,234.5,24.767,66.771,21.478
5 hr,49.929,30,20,300,200,300,85.476,0.108,0.788,234.5,24.767,66.771,21.433
6 hr,49.874,30,20,300,200,300,85.165,0.108,0.784,234.5,24.767,66.771,21.355
7 hr,49.808,30,20,300,200,300,84.715,0.108,0.78,234.5,24.767,66.771,21.242
8 hr,49.731,30,20,300,200,300,84.123,0.107,0.776,234.5,24.767,66.771,21.094
9 hr,49.647,30,20,300,200,300,83.387,0.107,0.772,234.5,24.767,66.771,20.909
10 hr,49.558,30,20,300,200,300,82.508,0.106,0.768,234.5,24.767,66.771,20.689
11 hr,49.466,30,20,300,200,300,81.488,0.106,0.764,234.5,24.767,66.771,20.433
12 hr,49.371,30,20,300,200,300,80.328,0.106,0.76,234.5,24.767,66.771,20.142
13 hr,49.277,30,20,300,200,300,79.031,0.106,0.756,234.5,24.767,66.771,19.817
14 hr,49.183,30,20,300,200,300,77.601,0.105,0.752,234.5,24.767,66.771,19.458
15 hr,49.09,30,20,300,200,300,76.04,0.105,0.748,234.5,24.767,66.771,19.067
16 hr,49.001,30,20,300,200,300,74.354,0.105,0.744,234.5,24.767,66.771,18.644
17 hr,48.914,30,20,300,200,300,72.548,0.104,0.74,234.5,24.767,66.771,18.191
18 hr,48.832,30,20,300,200,300,70.626,0.104,0.736,234.5,24.767,66.771,17.709
19 hr,48.754,30,20,300,200,300,68.595,0.104,0.732,234.5,24.767,66.771,17.2
20 hr,48.68,30,20,300,200,300,66.461,0.103,0.728,234.5,24.767,66.771,16.665
21 hr,48.613,30,20,300,200,300,64.231,0.103,0.724,234.5,24.767,66.771,16.106
22 hr,48.55,30,20,300,200,300,61.911,0.102,0.72,234.5,24.767,66.771,15.524
23 hr,48.494,30,20,300,200,300,59.509,0.102,0.716,234.5,24.767,66.771,14.922
24 hr,48.444,30,20,300,200,300,57.032,0.102,0.712,234.5,24.767,66.771,14.301
25 hr,48.4,30,20,300,200,300,54.489,0.101,0.708,234.5,24.767,66.771,13.663
26 hr,48.362,30,20,300,200,300,51.887,0.101,0.704,234.5,24.767,66.771,13.01
27 hr,48.331,30,20,300,200,300,49.234,0.1,0.7,234.5,24.767,66.771,12.345
28 hr,48.306,30,20,300,200,300,46.541,0.1,0.696,234.5,24.767,66.771,11.67
29 hr,48.288,30,20,300,200,300,43.814,0.099,0.692,234.5,24.767,66.771,10.986
30 hr,48.276,30,20,300,200,300,41.062,0.099,0.688,234.5,24.767,66.771,10.296
