slide valve %,vibration motor mm/s,discharge pressure bara,discharge temperature degC,suction pressure bara,suction temperature degC,cooling water temperature degC,cooling water return temperature degC,cooling water flow m3/h,cooling water header pressure barg,chilled water return temperature degC,chilled water supply temperature degC,motor current,motor bearing DE temperature degC,motor bearing NDE temperature degC,Motor Stator Temperature degC,Motor Stator Temperature degC_2,Motor Stator Temperature degC_3,Oil Pressure bara,Oil Pressure bara_2,Oil Temperature degC,OutsideTemperature
67.0,0.6101,12.1093,65.57,5.6123,8.2563,28.4025,30.3148,1312.3212,4.9969,14.8845,11.2625,14.8737,52.8439,40.4982,62.4199,61.411,61.3844,15.5124,10.5926,48.6398,26.0995
62.7652,0.6012,12.0012,64.6295,5.5758,7.8713,28.3721,30.3043,1303.6284,4.9891,13.7121,10.677,14.3575,53.0829,41.0139,62.8993,62.1313,62.3935,15.4936,10.4937,49.9647,27.4186
78.8782,0.8193,12.7621,70.7467,5.5304,7.5937,29.4025,31.9402,1324.1141,4.9898,14.8221,10.8595,16.229,54.2365,41.6894,64.0335,63.2031,63.6116,16.1118,11.3254,51.0828,27.9658
80.1667,0.8033,13.082,70.6649,5.568,7.5007,30.1004,32.651,1322.0981,4.9896,15.0125,11.2629,17.353,54.4986,42.2786,66.4003,65.0968,65.1996,16.3894,11.6111,52.2066,28.5292
65.9109,0.6016,12.7972,68.9878,5.5974,8.0631,30.8664,32.7687,1316.2014,4.9892,15.0667,12.1275,14.7704,56.4872,44.0032,68.0348,66.5768,67.0876,16.2968,11.278,52.3572,29.1484
81.9018,0.8974,12.7768,70.8744,5.5636,7.5305,29.3019,31.8238,1322.4658,4.9891,15.4453,11.4189,17.1545,57.7043,44.9594,68.9629,68.066,68.1327,16.1008,11.3049,51.0283,31.1543
80.5268,0.9011,12.6115,67.4985,5.6173,7.8943,29.3719,31.5224,1318.957,4.9891,15.8467,12.0305,16.1342,57.9022,45.3892,69.8539,69.2313,69.6398,15.8805,10.9099,50.1914,32.1187
84.4567,0.7987,12.5294,68.5062,5.5275,7.6197,28.9356,31.2827,1318.3174,4.9888,15.6416,12.3716,16.7484,58.9255,46.27,71.0199,69.7691,70.0622,15.9144,11.0226,51.3751,32.6728
83.7829,0.7059,12.5234,69.4137,5.5168,7.6583,28.9192,31.3352,1316.773,4.9902,16.4329,12.4337,16.5315,58.7995,46.5158,71.4209,70.3666,71.1079,15.89,11.1313,51.0696,33.7743
73.6744,0.908,12.6959,67.8182,5.4635,7.5794,28.9554,31.8687,1319.0817,4.9891,16.2556,12.2237,14.9798,58.861,46.2468,71.9086,71.0141,71.7749,15.8955,11.1799,51.0059,33.4868
87.7453,0.9934,12.7286,69.8617,5.6894,7.834,29.1111,31.6159,1322.6237,4.99,16.8361,12.3026,17.0671,59.3441,46.9335,72.754,71.1546,71.6707,15.9806,11.2839,51.4591,35.0407
71.7563,0.6889,12.6029,69.9984,5.5299,7.7825,29.1715,31.6244,1318.6068,4.9901,16.5812,12.3681,14.971,60.0414,46.8086,72.9456,72.1304,72.8658,15.85,11.0751,51.4213,35.707
75.0787,0.8847,12.4935,65.8244,5.5833,8.1812,28.8654,31.3506,1315.0963,4.9898,16.2025,12.9996,15.5104,60.8376,47.1427,73.388,72.1138,72.7287,15.7963,11.0954,50.2761,35.4359
76.8494,0.8042,12.3882,68.1502,5.4881,8.0812,28.9657,31.2624,1314.6909,4.9891,17.3507,13.5437,14.8672,60.2531,47.4701,73.0782,72.4117,73.3089,15.847,10.9092,50.5724,35.4198
