ZI-Z37050/AI1.PV,VI-V37050/AI1.PV,PI-P37051/AI1.PV,TI-T37051/AI1.PV,PI-P37050/AI1.PV,TI-T37050/AI1.PV,TI-T37130/AI1.PV,TI-T37131/AI1.PV,FI-F37130/AI1.PV,PI-P37130/AI1.PV,TI-T37054/AI1.PV,TI-T37053/AI1.PV,II-37062/AI1.PV,TI-T37059/AI1.PV,TI-T37060/AI1.PV,TI-T37056/AI1.PV,TI-T37057/AI1.PV,TI-T37058/AI1.PV,PI-P37054/AI1.PV,PI-P37053/AI1.PV,TI-T37055/AI1.PV,OutsideTemperature
68.0145,0.6045,12.1045,65.7278,5.6006,8.2228,28.3339,30.3445,1312.8636,4.9978,14.5865,11.1933,15.4994,52.6082,39.9475,62.2023,61.0352,61.4354,15.4877,10.5647,48.7208,26.8922
63.9128,0.6013,11.9796,64.9638,5.5741,7.8224,28.4133,30.3364,1303.1189,4.989,13.8926,10.8352,13.7723,53.2967,41.3563,62.9298,62.7861,62.7457,15.4854,10.5256,49.5795,26.8989
78.9154,0.8064,12.7776,70.468,5.5538,7.6005,29.291,31.9263,1323.591,4.9894,14.4218,10.7462,15.2985,54.7671,41.7322,65.1343,63.8137,64.5055,16.1102,11.3151,50.7174,27.664
79.313,0.7855,13.1003,70.7113,5.5775,7.5976,30.1392,32.6979,1322.0223,4.99,14.3401,10.6867,17.1304,55.3319,42.8171,66.7971,66.0342,66.796,16.3642,11.5901,52.013,28.6592
64.5472,0.6093,12.7726,69.1746,5.6022,8.0825,30.9092,32.7269,1317.323,4.9892,14.3378,11.2788,15.4349,56.3041,44.1815,68.6119,67.2238,69.0474,16.2697,11.2719,52.1056,30.2438
81.6616,0.8933,12.815,70.6413,5.5365,7.5388,29.3413,31.7863,1321.8523,4.989,14.408,10.8053,16.8834,57.9512,45.7069,70.3206,69.1442,69.8507,16.1363,11.2835,51.211,31.3339
79.6749,0.8988,12.5838,67.433,5.6329,7.9384,29.2991,31.553,1319.7095,4.9897,14.5899,10.9019,16.4794,58.902,45.8219,70.9583,70.2507,71.6084,15.8859,10.8874,49.8471,31.5758
81.534,0.8078,12.4995,68.1108,5.5197,7.6407,28.8383,31.3026,1317.1553,4.9897,14.4344,11.0396,16.9517,59.1364,46.6073,72.1106,71.6254,72.6233,15.9039,11.0022,50.941,32.568
79.7178,0.7022,12.4638,69.5004,5.5106,7.7078,28.8515,31.4277,1316.8746,4.989,14.3528,10.7476,16.256,59.6026,46.7048,72.9164,72.8919,73.983,15.871,11.1015,50.6233,33.4617
67.4762,0.9028,12.6924,67.9195,5.4537,7.6266,28.9643,31.7454,1319.0714,4.9883,14.1635,10.7811,15.5633,59.5873,47.1472,73.6449,73.0502,75.3908,15.9018,11.2266,50.6232,33.7037
85.6663,1.0067,12.6773,69.3584,5.694,7.8329,29.0919,31.7115,1322.164,4.989,14.434,10.9,17.0188,59.8105,47.287,74.3155,73.5843,75.2742,15.986,11.2863,50.6636,35.0252
64.1507,0.7036,12.5555,70.1673,5.5144,7.8299,29.1535,31.64,1318.4529,4.9897,14.0718,10.9048,15.467,60.797,48.1086,74.9731,74.4878,75.8697,15.8695,11.0701,51.0193,35.0373
66.8045,0.8972,12.5104,65.7785,5.6064,8.0474,28.8823,31.3285,1315.2599,4.9889,14.3411,11.3805,15.8145,61.7541,48.311,75.4346,75.7961,77.3104,15.8261,11.0771,49.9291,35.7886
69.5307,0.7986,12.4315,68.1872,5.4829,8.0197,28.9815,31.1621,1314.9205,4.9893,14.5075,11.2153,15.6297,61.3249,47.6037,76.1658,75.9809,77.4544,15.8231,10.8995,50.0576,35.4607
71.6073,0.7018,12.6217,67.336,5.4837,7.9269,28.6152,31.1487,1318.1801,4.989,14.5334,11.0942,15.3088,60.0585,47.0945,76.041,76.058,78.0916,15.7979,10.9856,49.7399,35.1655
