TI831061A,TI831061B,TI831060A,TI831060B,PZI831003,TI831001,FI821002,PI821019,TSI821017,PZI831006,TI831002,TI831063A,TI831063B,TI831062A,TI831062B,VSI831091A,VSI831091B,VSI831090A,VSI831090B,SZI831090,TI831064A,TI831064B,VSI831092B,VSI831093A,VSI831093B,TI831065A,TI831065B,PSI831047,TSI831042,OutsideTemperature
62,65.3,63.7,61.2,17.3535938,306.134247,129.374054,49.4647026,419.056244,4.5644,185.879623,82.7000046,83.6,86.9,76.4,16.7825,20.715,26.9212513,20.1475,6400,83.6,82.5,5.5925,8.645,9.0625,87,86.6,2.110575,46.65,28.70624924
61.5,64.8,63.7,61,17.3585949,304.832184,128.113525,49.5587425,417.228119,4.6002,183.564819,82.7000046,83.5,87.3,76.1,17.0675,20.34875,26.51375,20.06625,6300.22,83.4,82.2000046,5.51125,8.645,8.81625,86.9,86.5,2.113825,46.2225,28.6875
61.5,64.7000046,63.7,61,17.3331261,305.2662,127.988739,49.65278,418.040619,4.6018,184.606476,82.7000046,83.5,87.3,76.1,16.5775,20.2675,26.51375,20.10625,6200.49658,82,82.2000046,5.67375,8.48125,8.89875,86.9,86.5,2.10895,46.2018776,28.60312462
61.4,64.6,63.7,61,17.328125,304.398132,127.792747,49.76563,417.634369,4.65885,184.490738,82.7000046,83.5,87.5,76.1,16.86375,20.105,26.51375,19.94375,6176.765,83.4,82.2000046,5.5925,8.685,8.89875,86.8,86.4,2.1171,46.14125,28.55312538
61.3,64.4,63.7,61,17.3179684,305.555542,128.114182,49.5023155,418.65,4.6409,185.300919,82.6,83.6,87.2000046,76,16.5374985,20.02375,26.392498,19.94375,6175.22,83.4,82.2000046,5.5925,8.44125,8.89875,86.9,86.4,2.1122,46.1206245,28.52812386
61.3,64.4,63.8,61,17.34328,305.8449,128.806824,49.4647026,418.65,4.63275,185.648148,82.5,83.6,87.1,76,16.86375,20.34875,26.6775017,20.27,6175.22,83.4,82.2000046,5.5925,8.645,8.89875,86.8,86.4,2.113825,46.1206245,29.03125
61.2,64.2000046,63.9,61,17.3382816,305.2662,127.866379,49.76563,417.8375,4.6295,184.722214,82.6,83.6,87.4,76,17.0675,19.73875,26.4324989,19.9849987,6175.22,83.4,82.2000046,5.51125,8.5225,8.89875,86.8,86.4,2.113025,46.079998,28.73125076
61.2,64.2000046,64,61.1000023,17.3585949,305.121521,128.269745,49.7280121,418.040619,4.6474,184.837967,82.6,83.6,87.4,76,16.49625,19.73875,26.35125,19.9037514,6175.22,83.4,82.2000046,5.51125,8.44125,8.65375,86.8,86.4,2.1122,46.14125,28.25312614
61.2,64.2000046,64,61.1000023,17.3331261,304.6875,128.6614,49.6903954,417.431244,4.62625,184.490738,82.6,83.6,87.3,76,16.7825,20.34875,26.4324989,19.94375,6172.082,83.5,82.3,5.51125,8.645,8.65375,86.8,86.4,2.110575,46.1818771,27.97187614
61.1000023,64.1,64.1,61.1000023,17.36375,306.134247,128.627,49.57755,419.259369,4.6572,185.879623,82.5,83.6,87.2000046,76,16.61875,19.9025,26.6775017,19.94375,6176.765,83.4,82.2000046,5.5925,8.44125,8.735001,86.8,86.4,2.1114,46.14125,27.4375
61.1000023,64,64.1,61.1000023,17.34328,305.121521,128.181473,49.6339722,418.040619,4.636,185.069443,82.5,83.7000046,87.3,76,16.9037514,20.34875,26.51375,20.10625,6178.3584,83.4,82.1,5.5925,8.44125,8.65375,86.7000046,86.3,2.110575,46.1006241,27.84687614
61.1000023,64,64.2000046,61.1000023,17.3331261,305.555542,128.9849,49.5023155,418.446869,4.65885,185.416656,82.4,83.7000046,87.1,76,17.0675,20.145,26.8400021,20.31,6178.3584,83.5,82.2000046,5.75499964,8.72625,8.81625,86.8,86.4,2.110575,46.14125,27.64999771
61,63.8,64.3,61.2,17.3382816,305.121521,128.531036,49.7280121,417.9375,4.64905,184.837967,82.4,83.7000046,87.3,75.9,17.0275,20.0637512,26.51375,20.025,6170.489,83.5,82.3,5.5925,8.36,8.695,86.8,86.3,2.1122,46.1006241,27.26562691
61,63.8,64.3,61.1000023,17.3535938,305.4109,128.4048,49.5963554,418.446869,4.6295,185.069443,82.4,83.6,87.2000046,75.9,16.741251,19.86125,26.4324989,19.9037514,6168.89551,83.5,82.3,5.63375,8.318749,8.89875,86.7000046,86.3,2.110575,46.079998,27.52812576
60.9,63.7,64.3,61.2,17.3382816,305.4109,128.4413,49.67159,418.446869,4.64255,185.185181,82.4,83.6,87.3,75.9,16.7825,20.34875,26.51375,20.06625,6170.489,83.5,82.2000046,5.43,8.48125,8.81625,86.7000046,86.3,2.1122,46.079998,27.20000076
60.9,63.7,64.5,61.2,17.3382816,305.121521,127.8976,49.65278,418.040619,4.6295,185.185181,82.5,83.7000046,87.4,75.9,17.19,20.18625,26.18875,20.10625,6175.22,83.4,82.2000046,5.47,8.5625,8.89875,86.6,86.2000046,2.1114,46.0593758,26.82187653
60.9,63.6000023,64.5,61.2,17.34328,305.8449,128.477325,49.74682,400,4.60835,185.763885,82.4,83.7000046,87.3,75.8,16.98625,19.82,26.5549984,19.9037514,6172.082,83.5,82.2000046,5.43,8.48125,8.65375,86.7000046,86.3,2.1122,46.1006241,26.30625153
