TI831061A,TI831061B,TI831060A,TI831060B,PZI831003,TI831001,FI821002,PI821019,TSI821017,PZI831006,TI831002,TI831063A,TI831063B,TI831062A,TI831062B,VSI831091A,VSI831091B,VSI831090A,VSI831090B,SZI831090,TI831064A,TI831064B,VSI831092B,VSI831093A,VSI831093B,TI831065A,TI831065B,PSI831047,TSI831042,OutsideTemperature
66.16384125,69.23184204,64.79574585,61.26527786,13.81422901,280.2254333,130.0005493,49.19810867,416.1751099,4.801692009,151.2080078,82.15021515,89.15396118,86.50204468,82.08984375,14.64207077,17.80338669,28.07041168,25.9314537,6177.433594,86.25698853,93.34255219,6.514787674,10.12040997,8.312397003,90.82316589,87.04033661,2.084072351,47.24133301,23.25361633
66.00847626,69.35307312,64.73324585,61.22527695,13.87440205,278.9802551,130.6959534,49.54673767,414.0338135,4.82490015,149.7924805,82.17980957,89.17796326,86.68086243,82.07085419,14.8285284,17.78100395,28.04610062,25.3008194,6179.472656,86.19893646,93.37828827,6.496951103,10.17646694,8.328658104,90.91143799,87.03237915,2.083982468,47.21061707,23.89608955
66.14035797,69.58724213,64.6678009,61.21121216,13.88327217,277.7021484,130.825119,49.12534714,412.4038696,4.824033737,148.8824463,82.06951141,89.06736755,86.35431671,82.05187225,14.68706608,17.70269394,27.98575401,25.44530296,6182.9375,86.09827423,93.24163055,6.645495892,10.34852409,8.371860504,90.76522827,86.91594696,2.083703518,47.21802139,24.0053215
66.15825653,69.53239441,64.64565277,61.2416687,13.86403847,278.3822021,130.8038025,48.82463837,413.8583069,4.806631088,149.5287323,81.97322845,89.03715515,86.11014557,82.03288269,14.45041847,18.08541489,27.9929142,25.58203697,6179.799316,86.07714081,93.27352142,6.648957729,10.12416363,8.329860687,90.79954529,86.95933533,2.082872629,47.15325165,23.9761734
66.17794037,69.45635223,64.61978149,61.27212524,13.84304905,279.6894836,130.6049042,48.51749039,415.1566772,4.79774189,150.891983,81.81471252,89.1151123,85.89781952,82.01389313,14.37275982,18.17377281,28.3886013,25.45140266,6178.838379,86.09021759,93.18937683,6.600668907,10.05456829,8.247398376,90.70175171,86.8887558,2.082069159,47.15737152,23.96331978
65.96365356,69.05252838,64.86444092,61.29091263,13.96790123,280.7419739,131.5330963,49.18369293,415.7028503,4.818399906,151.0696106,82.01514435,89.19011688,86.1348114,82.09063721,14.27659702,17.54729271,27.98594856,25.45240593,6179.6875,86.34911346,93.5,6.545771122,9.931501389,8.394241333,91.04956055,87.1388092,2.084263563,47.14915085,24.23806381
65.8274765,68.95044708,64.80651855,61.18557358,13.71447849,279.1264038,129.305191,49.72116089,414.1053467,4.818286896,149.9587402,82.19172668,89.07640839,87.02059937,82.07615662,14.65767288,17.77898598,27.58702469,25.80541229,6179.17334,85.90000153,92.97164154,6.607675076,10.2360754,8.319556236,90.56964111,86.70828247,2.085888624,47.11198425,24.42744637
65.91362762,69.57271576,64.69165039,61.08097076,13.59696484,277.0350342,128.4381256,49.36326218,411.9920654,4.79885006,148.2679596,82.17761993,88.91005707,86.95940399,82.02697754,14.76209068,18.1818676,27.66837883,25.68311691,6180.196289,85.5109024,92.61910248,6.589478016,10.53915882,9.285445213,90.20536041,86.40908813,2.082498312,47.08679199,24.24822235
66.07543182,70.19394684,64.62393951,61.02801132,13.79874992,277.1654663,130.4299316,48.53285599,412.5536804,4.802849293,148.913681,81.83004761,88.828125,86.04155731,81.97664642,14.56998825,18.07553101,28.03750229,25.43062401,6179.89209,85.87847137,92.87371826,6.72635603,10.13218117,8.319992065,90.48939514,86.65856171,2.087774992,47.02883148,24.13995552
65.93314362,69.7493515,64.6789856,61.08206558,13.82421494,279.4691162,130.2299957,48.26510239,415.5063477,4.802138805,151.1587982,81.71791077,88.86364746,85.74771118,81.92491913,14.89517307,18.26755714,28.00107765,25.74258614,6177.013672,85.90131378,93.01364136,6.635242462,9.994942665,8.282470703,90.5218277,86.73638916,2.085027695,47.01696777,23.94808197
