U_value_W_m2K,hot_inlet_temp_C,hot_outlet_temp_C,cold_inlet_temp_C,cold_outlet_temp_C,hot_flow_rate_kg_s,cold_flow_rate_kg_s,LMTD_C,heat_duty_kW,pressure_drop_hot_kPa,pressure_drop_cold_kPa,fouling_resistance_m2K_W,hot_side_velocity_m_s,cold_side_velocity_m_s,ambient_temp_C,condition_label
413.63,179.51,128.58,40.24,91.01,25.074,20.217,88.42,2856.4,39.44,29.29,0.0002,1.323,1.001,28.33,normal
406.48,181.48,130.81,39.66,88.52,24.404,20.154,92.05,2690.5,38.6,31.71,0.000216,1.122,0.983,29.84,normal
406.8,178.02,129.75,39.77,90.09,24.786,20.175,88.95,2630.8,39.73,31.46,0.000215,1.19,1.003,28.21,normal
411.0,180.26,130.3,40.55,90.23,25.316,20.385,89.89,2755.4,40.96,31.43,0.000194,1.251,0.962,33.7,normal
414.69,180.96,129.83,39.6,91.63,25.342,20.018,89.78,2873.3,40.76,31.23,0.000196,1.25,1.071,34.12,normal
414.96,181.03,131.32,40.32,90.0,24.907,20.074,91.01,2752.6,39.06,29.93,0.000194,1.117,1.05,27.99,normal
409.07,178.45,131.26,39.96,88.91,25.238,20.882,90.42,2654.8,39.48,32.71,0.000207,1.151,0.91,28.34,normal
415.54,177.93,128.87,41.36,89.92,25.034,19.979,87.76,2693.3,39.7,30.57,0.000199,1.194,0.962,30.37,normal
414.07,182.66,130.35,41.17,89.46,23.872,20.4,91.18,2749.4,37.48,30.93,0.000209,1.158,0.998,31.55,normal
415.16,179.4,129.7,38.57,91.58,23.035,20.028,89.47,2538.8,35.53,30.46,0.00019,1.165,0.974,31.01,normal
413.3,177.7,128.84,39.84,90.6,26.387,19.771,88.05,2841.2,43.94,29.37,0.000219,1.185,0.914,31.49,normal
412.04,178.31,130.65,40.72,90.37,25.499,19.772,88.93,2681.2,42.51,29.75,0.000199,1.191,1.028,32.21,normal
411.06,180.18,129.93,39.55,90.14,24.966,19.59,90.21,2766.0,38.72,29.11,0.000208,1.253,0.952,32.69,normal
414.78,181.93,130.45,40.82,90.92,23.957,20.006,90.32,2721.0,37.82,28.43,0.000198,1.113,1.028,34.1,normal
413.5,180.15,132.49,40.34,89.45,24.235,19.698,91.42,2539.2,36.77,29.26,0.000195,1.252,1.019,30.61,normal
414.68,181.96,131.38,40.6,88.94,25.814,19.788,91.89,2884.0,42.72,28.34,0.000206,1.187,1.061,29.28,normal
406.78,180.49,131.19,39.94,87.86,23.327,20.609,91.94,2493.8,34.53,31.08,0.00021,1.227,0.964,30.12,normal
418.25,180.86,129.59,40.31,91.29,24.805,19.933,89.42,2787.6,38.5,28.49,0.000198,1.181,1.074,34.92,normal
410.42,181.62,128.82,40.53,90.54,25.521,20.569,89.68,2931.9,40.99,32.21,0.000198,1.317,0.951,32.04,normal
410.87,179.58,131.32,38.52,90.64,25.086,20.132,90.86,2661.9,41.79,30.17,0.000208,1.108,1.06,31.79,normal
409.73,180.59,129.7,39.08,90.03,25.453,20.43,90.59,2831.8,40.67,30.86,0.00019,1.258,1.043,33.11,normal
416.66,179.56,130.05,38.98,91.82,24.921,19.694,89.4,2728.9,40.39,30.17,0.00019,1.177,1.018,32.89,normal
416.5,179.18,129.66,41.7,88.88,26.436,20.073,89.13,2912.6,44.48,30.81,0.000205,1.187,0.956,35.23,normal
417.97,181.12,130.1,40.31,91.31,24.383,21.317,89.8,2706.1,38.55,33.47,0.000192,1.27,1.065,28.66,normal
417.47,178.9,132.41,40.38,89.06,24.183,20.412,90.94,2454.3,37.99,29.46,0.00019,1.189,1.033,30.76,normal
409.07,180.25,129.69,40.18,89.49,25.165,20.5,90.14,2808.5,41.1,31.89,0.00019,1.245,0.933,31.9,normal
411.07,178.94,129.72,39.48,88.65,25.858,20.115,90.27,2837.5,41.34,30.1,0.000194,1.272,0.896,32.04,normal
412.94,179.99,130.2,39.25,90.08,24.966,20.427,90.43,2755.1,39.96,30.87,0.00019,1.169,0.974,29.53,normal
411.28,179.33,130.29,40.86,89.66,25.629,19.417,89.55,2777.5,42.18,29.03,0.00019,1.301,0.966,26.95,normal
416.7,181.76,128.8,39.63,90.45,24.681,19.572,90.24,2875.1,38.54,28.35,0.0002,1.263,1.029,29.76,normal
411.66,180.24,128.31,41.59,89.27,24.289,20.212,88.83,2764.5,38.5,30.61,0.000211,1.187,1.005,28.88,normal
413.24,180.23,129.42,40.2,88.45,25.84,20.407,90.49,2899.4,41.47,31.82,0.000197,1.211,1.013,30.09,normal
416.08,182.59,129.78,40.1,90.6,25.941,19.792,90.83,3026.9,43.47,29.9,0.000191,1.164,0.98,32.6,normal
408.73,175.77,129.25,39.78,91.37,25.92,19.903,86.91,2657.7,42.1,29.29,0.000205,1.214,1.038,31.76,normal
408.2,178.43,129.06,39.93,90.73,24.737,19.816,88.41,2672.7,39.12,30.75,0.000209,1.243,0.977,27.92,normal
410.37,175.99,129.05,40.04,89.92,24.307,19.902,87.53,2470.1,38.81,30.65,0.000196,1.25,0.939,28.73,normal
413.47,180.08,129.65,41.54,90.38,24.298,19.396,88.9,2675.3,39.17,29.96,0.000207,1.21,0.903,30.69,normal
411.92,180.75,129.97,42.35,88.03,24.865,19.279,90.14,2768.9,39.27,28.15,0.000213,1.173,1.021,32.65,normal
415.29,181.05,128.35,38.84,89.61,25.349,19.954,90.47,2910.3,40.4,30.05,0.000198,1.167,0.976,30.15,normal
418.29,180.48,129.43,40.26,91.25,25.306,19.126,89.2,2851.0,41.86,28.52,0.00019,1.152,0.931,30.73,normal
407.38,178.77,130.37,40.72,90.46,24.139,19.505,88.98,2535.1,34.82,29.07,0.000204,1.185,0.965,27.12,normal
410.38,182.7,129.88,39.1,89.02,25.117,19.664,92.23,2912.0,41.71,29.24,0.000203,1.23,0.984,29.24,normal
411.13,180.53,128.73,39.37,90.83,25.011,19.467,89.53,2860.0,41.52,28.62,0.000213,1.169,1.028,28.6,normal
409.83,179.68,129.62,39.55,89.83,25.054,20.112,89.96,2780.4,39.13,30.06,0.00019,1.165,0.914,30.65,normal
412.34,178.38,129.96,37.59,90.78,24.986,19.77,89.97,2668.8,41.14,28.86,0.000192,1.147,0.984,29.66,normal
418.1,180.69,130.74,40.66,88.43,24.879,19.952,91.17,2765.1,40.02,29.35,0.00019,1.228,1.03,28.39,normal
418.41,179.32,128.35,39.96,89.39,25.356,19.486,89.16,2829.3,41.49,28.95,0.00019,1.187,1.02,27.95,normal
416.35,179.38,130.67,39.91,90.32,25.076,19.62,89.91,2668.5,37.99,28.75,0.000202,1.118,1.034,30.63,normal
411.92,180.37,129.56,40.09,90.27,25.135,20.246,89.79,2837.5,40.03,29.6,0.000206,1.255,1.08,28.83,normal
413.62,180.38,130.18,40.26,90.58,24.586,20.171,89.86,2694.0,38.64,30.51,0.000191,1.253,0.966,32.54,normal
413.81,178.82,130.79,42.33,89.86,25.237,19.757,88.71,2663.5,40.57,30.83,0.000217,1.199,0.976,30.48,normal
409.87,181.93,129.18,40.19,89.69,24.927,20.171,90.6,2849.6,39.58,31.65,0.00021,1.181,1.044,29.6,normal
412.75,178.54,129.23,40.85,90.45,23.731,20.082,88.24,2603.8,36.26,28.69,0.000208,1.197,1.066,32.04,normal
416.66,178.37,129.9,39.49,90.89,25.29,20.067,88.93,2715.9,38.13,29.55,0.000205,1.153,1.015,27.66,normal
409.61,180.51,130.79,40.36,88.24,24.841,20.785,91.34,2698.8,39.54,32.89,0.000211,1.249,0.988,32.04,normal
412.42,180.23,129.42,39.69,89.62,25.556,19.786,90.17,2813.2,40.95,29.49,0.00019,1.269,0.955,28.64,normal
411.56,180.15,128.62,39.86,89.7,24.903,20.196,89.6,2830.2,39.76,30.66,0.000207,1.25,1.026,31.64,normal
413.71,179.42,129.33,39.1,90.1,24.943,20.197,89.77,2756.2,39.48,30.5,0.000207,1.211,1.015,28.71,normal
416.24,180.1,130.35,39.19,91.09,25.127,19.869,90.08,2780.4,40.37,29.7,0.00019,1.211,0.959,28.16,normal
412.68,179.19,131.16,40.47,88.49,24.993,19.403,90.7,2688.6,40.33,27.63,0.000204,1.226,0.981,26.29,normal
415.3,177.56,129.46,40.76,90.56,24.732,20.33,87.85,2623.9,40.98,31.85,0.000197,1.285,0.962,30.2,normal
405.65,181.14,129.72,40.47,88.01,23.924,20.115,91.17,2701.6,36.3,29.57,0.000209,1.159,1.025,31.11,normal
410.74,178.51,129.78,39.34,89.15,26.106,20.009,89.9,2793.4,44.9,29.91,0.000195,1.199,0.996,27.2,normal
413.45,179.69,129.83,40.33,89.4,24.053,19.995,89.89,2631.6,37.08,31.22,0.0002,1.165,1.052,33.78,normal
408.89,181.13,129.05,37.47,89.65,24.795,19.993,91.53,2807.0,38.61,30.89,0.000204,1.138,1.056,30.06,normal
409.86,180.07,129.52,40.96,89.3,25.392,19.535,89.66,2801.7,39.72,28.75,0.00019,1.216,1.015,27.75,normal
407.4,184.14,130.23,39.98,89.37,25.228,20.128,92.5,2990.6,41.63,30.41,0.000207,1.256,1.05,34.15,normal
409.85,177.93,130.06,40.29,89.6,25.34,19.079,89.05,2627.8,39.51,27.09,0.000199,1.146,1.044,29.25,normal
411.21,178.91,130.03,41.18,89.64,25.462,19.967,89.05,2705.4,42.34,29.57,0.000206,1.248,1.063,33.12,normal
410.33,180.16,128.95,39.59,87.95,25.758,19.232,90.78,2933.1,42.55,27.77,0.000194,1.233,0.983,24.24,normal
411.46,182.06,129.52,40.98,88.36,25.178,19.803,91.1,2894.2,40.18,30.67,0.000213,1.222,1.027,34.55,normal
417.55,179.65,129.3,39.58,89.45,26.744,20.336,89.97,2983.1,44.65,30.64,0.000207,1.267,1.077,30.48,normal
412.69,177.88,131.0,40.56,90.55,24.392,19.848,88.87,2543.6,38.74,30.05,0.000198,1.166,1.03,30.07,normal
416.02,181.74,131.47,39.61,91.03,25.136,19.737,91.28,2780.9,40.67,29.71,0.000208,1.28,0.986,30.75,normal
411.29,178.64,130.42,40.32,93.01,24.783,20.233,87.85,2650.6,40.35,31.11,0.000215,1.18,1.012,27.68,normal
405.29,179.72,131.72,41.48,89.96,24.673,19.842,90.01,2601.7,39.41,29.56,0.000221,1.225,1.095,32.0,normal
413.66,181.34,129.66,39.37,89.11,25.172,19.772,91.26,2840.5,40.0,29.98,0.00019,1.122,0.988,30.99,normal
407.61,179.02,129.76,39.41,90.1,25.875,19.779,89.63,2802.0,43.27,29.64,0.000211,1.247,0.978,30.74,normal
414.58,179.34,128.71,39.69,90.69,24.574,20.731,88.84,2739.5,37.7,32.15,0.000206,1.2,1.04,28.89,normal
409.0,180.75,130.19,40.32,90.13,24.573,20.307,90.24,2737.2,39.61,30.47,0.000199,1.171,0.988,27.66,normal
419.18,179.71,129.51,42.78,88.82,25.435,20.214,88.79,2811.8,41.32,28.88,0.00019,1.148,0.94,30.81,normal
412.31,180.45,130.17,39.44,89.77,25.326,19.379,90.7,2791.7,40.11,29.07,0.000215,1.208,0.939,31.77,normal
407.48,178.6,130.44,37.98,89.93,26.175,20.283,90.55,2800.2,42.45,31.38,0.00019,1.266,1.004,30.35,normal
414.43,179.84,129.78,39.37,88.39,25.617,19.326,90.92,2816.9,41.59,27.88,0.000207,1.225,0.978,29.65,normal
415.63,178.38,128.97,38.44,88.56,25.138,20.212,90.18,2722.4,38.88,30.6,0.000216,1.181,1.062,28.98,normal
411.79,177.68,129.92,39.47,91.29,24.802,19.414,88.4,2630.0,40.8,28.68,0.00019,1.161,0.979,31.54,normal
416.91,182.65,129.89,40.04,87.54,25.129,20.948,92.45,2892.1,41.32,31.85,0.000196,1.147,0.948,33.07,normal
408.26,180.69,129.99,39.07,90.16,24.895,19.129,90.73,2777.5,38.63,28.27,0.00019,1.183,0.972,29.74,normal
413.23,181.39,130.66,39.34,89.67,24.181,20.582,91.51,2736.5,37.61,32.2,0.000203,1.119,0.954,28.29,normal
403.95,178.56,129.9,38.15,91.38,25.005,20.371,89.44,2679.1,41.98,31.89,0.000218,1.179,1.05,35.16,normal
410.43,179.97,129.9,40.21,90.49,24.895,19.083,89.58,2778.7,40.49,28.53,0.000224,1.252,0.971,26.84,normal
408.3,179.7,131.69,39.28,89.03,24.86,19.85,91.54,2620.4,38.6,28.1,0.00019,1.196,1.065,30.59,normal
