V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
49.995,29.956,19.797,299.058,199.879,299.289,85.368,0.109,0.8,234.533,24.936,66.779,21.461
50.065,29.955,19.825,300.294,200.927,299.336,84.866,0.109,0.801,234.543,24.973,67.013,21.351
49.886,30.173,20.107,299.69,199.126,297.588,86.53,0.109,0.804,234.555,25.357,66.553,21.721
50.006,29.99,20.008,300.769,200.352,303.558,84.086,0.109,0.799,234.591,23.939,66.918,21.006
49.994,30.124,20.25,299.384,199.652,300.449,85.634,0.11,0.799,234.539,24.644,66.655,21.429
50.04,30.037,20.149,299.178,199.829,303.021,84.268,0.11,0.801,234.531,23.958,66.698,21.118
50.106,30.017,19.996,300.347,199.527,301.462,85.869,0.109,0.796,234.481,24.424,66.687,21.467
50.032,29.97,19.816,300.464,200.033,300.439,86.395,0.11,0.801,234.461,24.595,66.714,21.614
50.018,29.959,19.788,299.51,199.556,298.756,84.995,0.109,0.801,234.451,25.029,66.603,21.386
50,30.091,19.845,299.143,200.469,298.401,85.324,0.11,0.802,234.467,25.125,67.003,21.448
50.027,29.937,20.058,300.22,200.228,303.051,85.332,0.109,0.798,234.489,24.057,66.766,21.485
50.058,30.033,19.938,299.334,200.21,298.427,84.642,0.109,0.8,234.446,25.108,66.789,21.281
50.141,29.937,19.914,300.068,200.485,301.644,85.274,0.11,0.796,234.467,24.331,66.947,21.452
50.035,29.965,20.113,300.105,199.955,298.239,86.886,0.109,0.802,234.441,25.259,66.746,21.729
49.982,29.93,19.901,300.116,200.2,300.447,85.638,0.11,0.802,234.472,24.705,66.808,21.455
49.979,30.031,19.93,300.935,199.606,298.029,84.843,0.111,0.799,234.468,25.227,66.562,21.332
50.046,29.944,19.991,299.783,199.545,300.935,86.151,0.11,0.796,234.497,24.494,66.654,21.508
49.914,30.053,19.783,300.709,199.521,298.131,86.772,0.11,0.804,234.48,25.205,66.67,21.788
50.061,30.023,19.874,300.312,200.977,301.554,84.738,0.109,0.801,234.507,24.323,67.119,21.229
50,29.915,20.06,299.173,199.742,300.244,86.83,0.11,0.803,234.48,24.752,66.686,21.777
49.921,29.934,20.089,299.017,199.598,297.569,86.273,0.109,0.799,234.479,25.427,66.602,21.623
49.979,29.947,19.801,299.669,199.698,298.67,85.207,0.109,0.802,234.52,25.053,66.728,21.377
50.003,29.962,20.053,299.818,200.903,298.286,86.919,0.109,0.801,234.537,25.142,67.001,21.743
49.908,30.098,19.933,299.66,199.418,298.419,86.471,0.109,0.797,234.559,25.191,66.561,21.557
49.979,30.058,19.797,300.277,199.73,301.885,83.78,0.109,0.8,234.585,24.362,66.752,21.066
49.964,29.949,19.788,300.986,200.057,300.749,87.049,0.109,0.801,234.559,24.606,66.818,21.753
49.931,29.966,19.965,299.359,199.591,299.579,85.61,0.11,0.8,234.549,24.919,66.596,21.424
49.842,30.081,19.951,299.228,200.139,298.891,85.789,0.109,0.803,234.558,25.067,66.749,21.606
50.035,30.012,20.136,299.529,200.907,301.876,85.708,0.111,0.799,234.575,24.298,67.041,21.372
49.855,30.083,19.835,299.204,198.952,299.874,86.186,0.11,0.796,234.546,24.815,66.366,21.499
50.018,30.012,20.216,300.106,200.114,301.868,83.614,0.11,0.796,234.548,24.269,66.853,20.877
