TI831061A,TI831061B,TI831060A,TI831060B,XSI831090,XSI831091,XSI831092,LSI831010,LSI831011,LSI831012,PZI831003,PZI831004,PZI831005,TI831001,FI821002,PI821019,TSI821017,TSI821018,TSI821019,PZI831006,PZI831007,PZI831008,TI831002,TI831063A,TI831063B,TI831062A,TI831062B,VSI831091A,VSI831091B,VSI831090A,VSI831090B,SZI831090,TI831064A,TI831064B,VSI831092B,VSI831093A,VSI831093B,TI831065A,TI831065B,PX8310_1_NM1/NUM1.PV,PSI831047,PSI831048,PSI831049,TSI831042,TSI831043,TSI831044,OutsideTemperature,VSI831092A
62,65.3,63.7,61.2,-0.030425012,-0.02837503,-0.011650026,341.935,346.446747,346.895,17.3535938,17.4103127,17.4003124,306.134247,129.374054,49.4647026,419.056244,419.506256,419.328125,4.5644,4.606,4.571,185.879623,82.7000046,83.6,86.9,76.4,16.7825,20.715,26.9212513,20.1475,6178.3584,83.6,82.5,5.5925,8.645,9.0625,87,86.6,0,2.110575,2.0922,2.087175,46.65,46.4468765,46.6656227,28.70624924,5.8275
61.5,64.8,63.7,61,-0.02798748,-0.025512517,-0.009612501,441.43,453.558258,455.530029,17.3585949,17.39,17.385,304.832184,128.113525,49.5587425,417.228119,417.668762,417.493774,4.6002,4.637,4.64765,183.564819,82.7000046,83.5,87.3,76.1,17.0675,20.34875,26.51375,20.06625,6175.22,83.4,82.2000046,5.51125,8.645,8.81625,86.9,86.5,0,2.113825,2.093825,2.092075,46.2225,46.0393753,46.2368774,28.6875,5.95125
61.5,64.7000046,63.7,61,-0.02717501,-0.02429998,-0.008787513,426.45,437.580933,437.585022,17.3331261,17.359375,17.364687,305.2662,127.988739,49.65278,418.040619,418.4875,418.512482,4.6018,4.6419,4.6313,184.606476,82.7000046,83.5,87.3,76.1,16.5775,20.2675,26.51375,20.10625,6181.49658,83.4,82.2000046,5.67375,8.48125,8.89875,86.9,86.5,0,2.10895,2.093825,2.0929,46.2018776,45.9575,46.1756248,28.60312462,5.8275
61.4,64.6,63.7,61,-0.02717501,-0.023887515,-0.008387506,416.68,426.168549,426.495,17.328125,17.35422,17.3543758,304.398132,127.792747,49.76563,417.634369,418.078125,417.9,4.65885,4.69085,4.6851,184.490738,82.7000046,83.5,87.5,76.1,16.86375,20.105,26.51375,19.94375,6176.765,83.4,82.2000046,5.5925,8.685,8.89875,86.8,86.4,0,2.1171,2.097075,2.09045,46.14125,45.9575,46.1556244,28.55312538,5.91
61.3,64.4,63.7,61,-0.026362479,-0.023074985,-0.006749988,404.955017,411.984253,413.12,17.3179684,17.3390636,17.3390636,305.555542,128.114182,49.5023155,418.65,418.996857,418.918762,4.6409,4.67615,4.6688,185.300919,82.6,83.6,87.2000046,76,16.5374985,20.02375,26.392498,19.94375,6175.22,83.4,82.2000046,5.5925,8.44125,8.89875,86.9,86.4,0,2.1122,2.097075,2.087175,46.1206245,45.89625,46.1143761,28.52812386,5.91
61.3,64.4,63.8,61,-0.025137484,-0.022262514,-0.005937517,393.72,400.736664,400.885,17.34328,17.359375,17.364687,305.8449,128.806824,49.4647026,418.65,419.0969,419.125,4.63275,4.67285,4.66555,185.648148,82.5,83.6,87.1,76,16.86375,20.34875,26.6775017,20.27,6175.22,83.4,82.2000046,5.5925,8.645,8.89875,86.8,86.4,0,2.113825,2.093825,2.0888,46.1206245,45.9575,46.07375,29.03125,5.74624968
61.2,64.2000046,63.9,61,-0.023100019,-0.021037519,-0.004299998,379.715,385.573456,386.045,17.3382816,17.3798428,17.3748436,305.2662,127.866379,49.76563,417.8375,418.078125,418.103119,4.6295,4.668,4.65575,184.722214,82.6,83.6,87.4,76,17.0675,19.73875,26.4324989,19.9849987,6175.22,83.4,82.2000046,5.51125,8.5225,8.89875,86.8,86.4,0,2.113025,2.09545,2.092075,46.079998,45.9575,46.1143761,28.73125076,5.8275
61.2,64.2000046,64,61.1000023,-0.023100019,-0.021037519,-0.003899992,368.805,374.815369,374.95,17.3585949,17.369688,17.3798428,305.121521,128.269745,49.7280121,418.040619,418.384369,418.309357,4.6474,4.68755,4.6737,184.837967,82.6,83.6,87.4,76,16.49625,19.73875,26.35125,19.9037514,6175.22,83.4,82.2000046,5.51125,8.44125,8.65375,86.8,86.4,0,2.1122,2.093,2.0888,46.14125,45.9368744,46.135,28.25312614,5.7875
61.2,64.2000046,64,61.1000023,-0.022700012,-0.019812524,-0.003487527,359.52002,365.0312,365.98,17.3331261,17.36453,17.369688,304.6875,128.6614,49.6903954,417.431244,417.875,417.9,4.62625,4.67285,4.66065,184.490738,82.6,83.6,87.3,76,16.7825,20.34875,26.4324989,19.94375,6172.082,83.5,82.3,5.51125,8.645,8.65375,86.8,86.4,0,2.110575,2.093825,2.0888,46.1818771,45.998127,46.1143761,27.97187614,5.8275
61.1000023,64.1,64.1,61.1000023,-0.020662487,-0.017775,-0.001862526,348.449982,353.294159,354.4,17.36375,17.39,17.395155,306.134247,128.627,49.57755,419.259369,419.609375,419.53125,4.6572,4.6892,4.6851,185.879623,82.5,83.6,87.2000046,76,16.61875,19.9025,26.6775017,19.94375,6176.765,83.4,82.2000046,5.5925,8.44125,8.735001,86.8,86.4,0,2.1114,2.093,2.09045,46.14125,45.9368744,46.1556244,27.4375,5.8275
