Z3700_Compressor_Screw_CapacityControl(ZI-Z37050/AI1.PV),Z3700_Compressor_Screw_CaseVibrationNDEMaleRotor(VI-V37050/AI1.PV),Z3700_Compressor_Screw_DischargePressure(PI-P37051/AI1.PV),Z3700_Compressor_Screw_DischargeTemperature(TI-T37051/AI1.PV),Z3700_Compressor_Screw_SuctionPressure(PI-P37050/AI1.PV),Z3700_Compressor_Screw_SuctionTemperature(TI-T37050/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureCold(TI-T37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureWarm(TI-T37131/AI1.PV),Z3700_CoolingSystemCollection_CoolingMassFlow(FI-F37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingPressure(PI-P37130/AI1.PV),Z3700_HeatExchanger_InletTemperatureHot(TI-T37054/AI1.PV),Z3700_HeatExchanger_OutletTemperatureHot(TI-T37053/AI1.PV),Z3700_Motor_Current(II-37062/AI1.PV),Z3700_Motor_RadialBearingDETemperature1(TI-T37059/AI1.PV),Z3700_Motor_RadialBearingNDETemperature1(TI-T37060/AI1.PV),Z3700_Motor_StatorTemperatureA1(TI-T37056/AI1.PV),Z3700_Motor_StatorTemperatureB1(TI-T37057/AI1.PV),Z3700_Motor_StatorTemperatureC1(TI-T37058/AI1.PV),Z3700_OilSystem_OilPressure1(PI-P37054/AI1.PV),Z3700_OilSystem_OilPressure2(PI-P37053/AI1.PV),Z3700_OilSystem_OilTemperature(TI-T37055/AI1.PV),Z3700_Vessel_VesselLevel(LI-L37050-1/AI1.PV),OutsideTemperature
67,0.599999964,12.1,65.8,5.6,8.200002,28.3135929,30.3854828,1312.60742,4.997425,14.600009,11.1999989,15.000001,52.7,40.1,62.4,61.1999969,61.6,15.5,10.5999994,48.6999969,53.670002,26.421875
62,0.599999964,12,64.9,5.58,7.89999962,28.3135929,30.3282623,1303.79077,4.98931837,13.9,10.7999983,14,53.3999977,40.9,63.2000046,62.1,62.5,15.5,10.5,49.6,53.3900032,27.32500076
78,0.8,12.8,70.50001,5.54,7.59999752,29.3745689,31.90423,1323.67688,4.98931837,14.4,10.7999983,16,54.0000038,41.6000023,64.4,63.4,63.8000031,16.1,11.3,50.8000031,54.170002,27.73750114
79,0.8,13.0999994,70.7000046,5.58,7.499999,30.1112957,32.7077141,1322.05493,4.98931837,14.3000011,10.6999989,17,54.8,42.6,66.2,64.8,65.4,16.4,11.5999994,52,54.2800026,28.63749886
63,0.599999964,12.8,69.1,5.62,8.099997,30.9123936,32.7553978,1316.749,4.98931837,14.3000011,11.2999973,15.000001,56.3000031,44.1000023,67.7,66.5,67,16.3000011,11.3,52.1000023,52.3999977,29.81874847
80,0.900000036,12.8,70.7000046,5.54,7.499999,29.3197327,31.8851566,1322.11584,4.98931837,14.4,10.7999983,17,57.5,45.1000023,68.9,67.7999954,68.1,16.1,11.3,51.1000023,54.22,31.10312462
78,0.900000036,12.6,67.6,5.63,7.89999962,29.3197327,31.501297,1319.21143,4.98931837,14.600009,10.9000025,16,58.1,45.5,69.8,68.6,69.1,15.9,10.9,49.9,53.5300026,32.00624847
82,0.8,12.5,68.2000046,5.52999973,7.59999752,28.845274,31.2843323,1317.60413,4.98931837,14.4999981,11.0000019,17,58.9999962,46.3,70.6,69.5,69.9,15.9,11,50.8000031,54.31,32.56874847
81,0.6999999,12.5,69.2999954,5.52,7.700002,28.845274,31.4083138,1316.36182,4.98931837,14.4,10.6999989,16,58.9999962,46.6,71.4,70.3,70.6,15.9,11.1,50.6000061,54.57,33.45624924
68,0.900000036,12.7000008,67.9,5.46,7.59999752,28.9787884,31.8160152,1319.252,4.98931837,14.0999975,10.7999983,15.000001,58.8999977,46.6,71.9,70.8,71.3,15.9,11.2000008,50.6000061,54.170002,33.76250076
85,1,12.7000008,69.50001,5.68,7.800001,29.1647587,31.6491184,1322.136,4.98931837,14.4999981,10.9000025,17,59.3999977,46.8,72.2999954,71,71.4,16,11.3,50.6999969,53.73,34.86562347
64,0.6999999,12.6,70.1,5.52,7.800001,29.1647587,31.66104,1318.58093,4.98931837,14.0999975,10.9000025,15.000001,59.8999977,47,72.6,71.7,72.1,15.9,11.1,51,53.62,35.40000153
67,0.900000036,12.5,65.7,5.59,8.099997,28.9501781,31.3415565,1314.77161,4.98931837,14.3000011,11.4000025,15.000001,60.6000023,47.1,72.7999954,71.9,72.2999954,15.8000011,11.1,49.9,53.91,35.89374924
69,0.8,12.4,68.1,5.49,8.099997,28.9501781,31.2104225,1314.50635,4.98931837,14.4999981,11.1999989,15.000001,60.0000038,47.1,73.1,72.1,72.6,15.8000011,10.9,50,53.24,35.33749771
73,0.6999999,12.6,67.49999,5.4800005,7.999998,28.7046051,31.229496,1318.01123,4.98931837,14.4999981,11.1,15.000001,59.1000023,46.5,73.1,72.2999954,72.6,15.8000011,11,49.8000031,53.6499977,34.99062347
89,0.900000036,12.7000008,66.99999,5.56,7.4,28.7046051,31.3510933,1318.47925,4.98931837,14.7000074,11.0000019,17,58.8,46.3,73.4,72.3999939,72.8999939,16.1,11.2000008,50.1000061,54.02,33.73125076
82,1,12.9,71.7,5.34,6.699997,28.7046051,31.2652588,1320.39014,4.98931837,14.8,10.7999983,17,59.3,46.3999977,73.9,72.7999954,73.2,16,11.2000008,51.4000053,53.670002,33.77499771
98,0.900000036,12.9,69.9,5.30999947,6.90000057,28.7046051,31.2843323,1316.62671,4.978351,15.100008,10.6999989,21,59.3999977,46.6,74.5,73.2999954,73.9,16.3000011,11.4,50.6000061,53.8500023,33.12812424
76,0.8,12.4,68.2999954,5.55,7.59999752,28.7046051,31.5179863,1320.93872,4.978351,14.4999981,11.1,16,59.6000023,46.6,75.3,73.9,74.7,15.8000011,10.9,51.5,53.8200035,32.296875
85,0.8,12.5,71.5,5.54,7.499999,28.4614143,31.4965286,1322.56189,4.978351,14.9999981,11.2999973,17,59.6000023,46.6,75.8,74.5,75,15.9,11.1,51.6000023,54.34,31.47499847
93,1,12.6,70.2999954,5.46,6.999999,28.4614143,31.3177147,1318.07239,4.978351,15.2000065,11.1,18,59.3999977,47,76,74.7,75.2,16.1,11.1,50.6999969,53.73,30.99687386
100,0.8,13,68.7000046,5.22,6.400001,28.4614143,31.2533379,1317.99084,4.978351,15.2000065,10.6,22,60.0000038,47.5,76.4,75.2,75.8,16.4,11.5,51.1000023,53.1000023,30.93749809
89,0.900000036,12.6,72.5,5.5,7.300001,28.38035,31.5609035,1312.79126,4.978351,15.100008,11.2999973,17,60.8,47.7,76.9,75.8,76.3,15.9,11.2000008,51.9000053,53.8200035,30.49062538
89,0.900000036,12.6,71.8,5.52,6.90000057,28.38035,31.5847454,1321.79126,4.978351,15.2000065,11.1,17,61,47.6000023,77.3,76.1,76.6,16,11.2000008,51.1999969,52.8599968,29.83124924
84,0.6999999,12.6,68.9,5.56999969,7.499999,28.38035,31.684885,1318.8252,4.978351,15.100008,11.2999973,17,61.6,47.1,77.7000046,76.3,76.8,16,11.1,51.4000053,53.3599968,29.53437614
100,0.8,13,73.09999,5.22999954,6.099999,28.5186348,31.6467342,1327.54163,4.978351,15.100008,10.3999977,22,62,46.5,77.7000046,76.3,76.9,16.3000011,11.5999994,51.8,53.76,29.22812462
100,0.8,13,70.9,5.29,6.800002,28.5186348,31.3034058,1321.50708,4.978351,15.4999971,10.9000025,21,62.1999969,46,77.7000046,76.3,76.8,16.3000011,11.5,51.1000023,53.329998,28.89999962
100,0.8,12.9,68.1,5.2699995,7.4,28.5186348,31.2867165,1324.95288,4.978351,15.4000044,11.4000025,22,62.1999969,45.6,77.7000046,76.3,76.9,16.3000011,11.5,51.5,54.43,28.89687347
94,0.8,12.9,73.7,5.18999958,6.099999,28.4900246,31.7111111,1327.40015,4.978351,14.9999981,10.2,19,62.4,45,77.7000046,76.3,76.9,16.1,11.3,51.9000053,53.1499977,28.24374962
99,0.900000036,13,70.7999954,5.27999973,7.099998,28.4900246,31.4106979,1323.57556,4.978351,14.9999981,10.9000025,21,62.4,44.7,77.7000046,76.3,76.8,16.3000011,11.5,51.4000053,53.7,27.92812538
100,0.8,12.7000008,67.99999,5.49,7.4,28.4900246,31.6920376,1327.683,4.978351,15.2000065,11.2999973,22,62.4,44.4,77.7000046,76.3,76.8,16.3000011,11.5,52,53.62,27.83125114
85,0.900000036,12.6,72.8,5.56999969,6.999999,28.4900246,31.6371975,1323.43372,4.978351,15.2000065,11.1999989,17,62.3000031,44.4,77.6000061,76,76.6,16,11.1,51.5,52.579998,27.875
85,0.900000036,12.6,71.4,5.56,6.90000057,28.4900246,31.6252766,1326.0658,4.978351,14.9999981,11.2999973,17,62.1,44.2,77.5,76,76.6,15.9,11.1,51.1999969,52.920002,27.47187614
88,1,12.6,68.2999954,5.51,7.499999,28.4900246,31.5513649,1315.5874,4.99361038,14.9999981,11.500001,17,61.6999969,43.8,77.4,76,76.5,15.9,11.1,51.9000053,53.329998,27.22500038
92,0.900000036,12.9,72.6,5.30999947,6.400001,28.4637985,31.45123,1325.82324,4.99361038,15.100008,10.5000019,19,61.4,43.6,77.2000046,75.6,76.3,16.3000011,11.2000008,51.5,53.0700035,26.60937691
85,0.8,12.5,69.7000046,5.52999973,7.499999,28.4637985,31.2509537,1325.86353,4.99361038,15.100008,11.4000025,17,61.3,43.2,76.9,75.4,75.9,15.9,11,51,54.05,26.60625076
100,0.900000036,12.9,67.7000046,5.29,6.5,28.4637985,31.0387573,1320.10571,4.99361038,15.4999971,10.6999989,21,61,43,76.5,75.1,75.7000046,16.3000011,11.4,51,52.55,27.00000191
100,1,12.9,70.9,5.24,6.59999847,28.0513287,30.8742466,1322.23755,4.99361038,15.4000044,10.7999983,22,60.7,42.8,76.3,75,75.5,16.2,11.4,50.8999939,52.8900032,27.19687462
85,0.900000036,12.4,69.6,5.56999969,7.499999,28.0513287,31.1841965,1323.85938,4.99361038,15.2000065,11.1999989,16,60.5,42.8,76.3,74.9,75.5,15.8000011,11,50.8000031,53.5000038,27.43437576
100,0.900000036,12.8,67.7000046,5.25999975,6.699997,28.0513287,30.9004726,1328.24866,4.99361038,15.4000044,11.0000019,22,60.5,42.8,76.4,75,75.5,16.2,11.3,51.4000053,53.0399971,27.40312576
100,1,12.9,71.2000046,5.25,6.5,28.0513287,30.8456364,1320.61365,4.99361038,15.4999971,10.7999983,22,60.5,43,76.4,75,75.5,16.3000011,11.4,51,52.95,26.69687653
100,0.8,12.8,69.2999954,5.25999975,6.5,28.0513287,30.9195461,1319.45544,4.99361038,15.5999956,10.6999989,21,60.5,42.5,76.4,75,75.5,16.2,11.3,50.6000061,53.1799965,26.60000038
100,0.8,12.9,68.9,5.25999975,6.5,28.0179462,30.7979488,1317.76709,4.99361038,15.4999971,10.5000019,22,60.1000023,42.3,76.1,74.6,75.1,16.3000011,11.4,51.4000053,52.4600029,26.28437614
93,0.8,12.7000008,71.4,5.31999969,6.300002,28.0179462,30.7693386,1313.97571,4.99361038,15.2000065,10.6,18,60.1000023,42.2,76,74.5,75.1,16,11.2000008,50.8999939,53.41,26.35937691
