U_value_W_m2K,hot_inlet_temp_C,hot_outlet_temp_C,cold_inlet_temp_C,cold_outlet_temp_C,hot_flow_rate_kg_s,cold_flow_rate_kg_s,LMTD_C,heat_duty_kW,pressure_drop_hot_kPa,pressure_drop_cold_kPa,fouling_resistance_m2K_W,hot_side_velocity_m_s,cold_side_velocity_m_s,ambient_temp_C,condition_label
413.22,180.46,129.69,40.18,91.21,24.005,20.039,89.38,2705.2,37.44,30.73,0.000216,1.168,0.964,27.98,normal
409.35,178.44,129.64,40.9,91.25,25.535,19.618,87.96,2792.2,42.27,28.73,0.000177,1.205,0.95,29.91,normal
407.93,181.13,129.16,38.53,90.97,24.965,20.004,90.39,2920.4,41.06,31.23,0.000223,1.206,1.013,27.31,normal
411.72,181.41,130.51,39.71,90.57,24.64,19.879,90.82,2726.5,39.13,28.87,0.000181,1.207,1.006,28.57,normal
420.88,177.07,130.28,40.83,90.54,24.85,20.696,87.99,2575.8,38.77,30.56,0.00022,1.217,0.911,29.51,normal
407.37,178.05,128.09,40.07,90.36,25.622,19.978,87.86,2799.0,41.73,28.4,0.000209,1.148,0.948,29.16,normal
408.01,180.19,128.02,41.47,90.53,25.439,19.309,88.1,2956.6,39.91,28.8,0.000193,1.275,1.01,31.45,normal
404.52,179.53,130.51,38.42,90.62,24.923,20.249,90.49,2699.4,40.17,30.12,0.000184,1.19,0.997,28.52,normal
408.02,179.97,129.02,38.31,88.17,24.317,20.893,91.26,2717.0,37.56,32.34,0.000204,1.215,0.984,25.06,normal
412.91,178.72,130.36,40.77,88.97,24.359,20.598,89.67,2564.2,38.28,32.51,0.000202,1.167,1.024,26.63,normal
422.61,181.32,130.94,40.87,88.66,25.452,19.449,91.36,2810.0,41.23,28.79,0.000169,1.216,0.942,29.96,normal
405.51,181.17,128.47,39.81,91.44,24.233,19.866,89.2,2788.9,37.44,28.69,0.000218,1.304,0.976,28.83,normal
411.7,180.1,128.31,40.4,92.15,24.929,19.985,87.93,2839.8,40.02,31.26,0.000235,1.151,1.021,27.53,normal
408.24,181.69,132.01,40.75,87.18,26.609,19.991,92.88,2909.1,44.63,29.74,0.000226,1.144,0.974,33.92,normal
409.3,180.7,130.42,39.19,92.03,25.276,20.19,89.95,2779.2,40.17,30.47,0.000209,1.157,1.013,31.66,normal
415.85,178.71,129.5,39.29,90.11,25.445,19.828,89.4,2735.7,40.19,28.97,0.000187,1.183,0.954,29.88,normal
417.86,180.55,128.88,40.19,91.32,24.363,19.542,88.96,2788.5,38.54,27.88,0.000204,1.174,0.967,30.47,normal
413.72,178.56,129.39,40.9,90.66,24.264,20.476,88.19,2645.9,36.7,31.48,0.000196,1.148,0.929,29.47,normal
407.78,181.32,128.57,38.83,91.87,25.477,19.438,89.59,2932.1,43.18,27.35,0.000204,1.198,0.918,27.49,normal
409.81,179.93,131.06,39.8,90.27,24.831,19.599,90.45,2667.7,40.8,28.86,0.000228,1.278,0.981,32.06,normal
415.03,179.72,129.07,39.76,88.23,25.704,19.435,90.4,2838.6,40.46,29.76,0.000197,1.193,1.018,31.7,normal
421.7,178.98,131.31,40.42,89.86,25.086,20.306,90.0,2708.9,40.88,31.43,0.000145,1.195,0.995,26.05,normal
412.88,181.83,129.52,39.99,90.67,27.134,20.053,90.34,3094.7,47.49,30.31,0.000224,1.217,1.046,30.45,normal
401.67,179.77,128.75,39.45,89.72,24.717,20.442,89.67,2781.9,38.6,30.32,0.000212,1.232,0.984,30.67,normal
413.51,179.36,129.49,41.25,90.86,25.233,19.607,88.37,2781.8,41.03,28.9,0.000204,1.269,0.915,29.36,normal
422.07,179.47,126.85,39.46,89.91,24.524,19.373,88.47,2819.0,38.51,27.69,0.000165,1.212,1.014,34.19,normal
411.35,180.8,129.86,39.71,89.23,25.679,19.778,90.86,2852.2,42.66,30.56,0.000175,1.2,0.957,33.98,normal
410.6,180.55,129.8,38.41,88.59,25.324,19.909,91.67,2819.2,40.49,29.37,0.000179,1.15,1.005,29.24,normal
419.84,180.62,130.99,39.29,89.49,24.483,20.105,91.42,2647.2,39.54,29.65,0.000182,1.237,0.909,29.55,normal
420.06,180.65,127.74,40.52,90.27,24.87,19.159,88.79,2900.5,39.48,27.59,0.000185,1.158,0.989,29.32,normal
424.42,183.21,131.39,40.32,87.45,25.883,20.239,93.4,2925.2,42.26,30.02,0.000165,1.156,1.028,28.78,normal
399.36,179.39,130.98,40.6,88.99,25.811,19.553,90.39,2753.1,43.01,28.99,0.000265,1.21,1.023,28.16,normal
406.11,179.23,131.5,40.55,87.4,24.211,19.676,91.39,2480.4,38.66,30.59,0.000245,1.277,0.99,31.01,normal
412.76,178.78,129.94,42.09,89.2,24.78,20.587,88.71,2638.5,37.03,31.61,0.000208,1.236,0.998,33.92,normal
406.19,180.92,131.22,39.25,91.56,26.153,18.908,90.66,2847.4,40.48,26.38,0.000199,1.198,0.98,33.1,normal
404.34,181.69,128.23,38.38,88.46,24.96,20.161,91.53,2965.5,40.23,30.31,0.000255,1.151,0.988,31.58,normal
405.26,179.83,130.86,38.95,90.91,25.17,20.159,90.4,2656.4,39.83,29.41,0.000249,1.276,1.025,25.19,normal
419.64,178.74,129.07,39.3,93.7,25.676,19.591,87.39,2835.9,40.65,31.2,0.000178,1.197,0.97,26.27,normal
