Reactor Temperature,Reactor Pressure,CH4 mole flow,CO Mole Frac,H2 Mole Frac,CH4 Mole Frac,H2O Mole Frac
1596.5,416.625,232.32,0.145851649,0.450877373,0.098187872,0.307480113
1632,326.61,347.82,0.196923268,0.556724627,0.075581001,0.141483637
1372,505.365,144.43,0.092141509,0.311869541,0.096708375,0.486962163
1460.25,393.224,285.67,0.139650276,0.419368211,0.156477806,0.285852475
1810.5,520.756,88.825,0.070525732,0.22955114,0.070672291,0.618682869
1657.5,303.212,186.725,0.16191673,0.51494824,0.035761002,0.279458298
1338.25,429.024,374.88,0.091885377,0.289949166,0.275155,0.320989317
1349.37,350.073,176.1144,0.101323544,0.306123249,0.117147381,0.456056768
1679.63,523.32,351.14112,0.168059375,0.500489465,0.122585078,0.176135837
1813,292.2,264.06072,0.202563171,0.627305745,0.019572173,0.168140077
1482.74,421.106,65.3334,0.044726839,0.158210573,0.074014525,0.701303479
1481.14,310.27,419.38028,0.142384664,0.430805397,0.206047147,0.230816611
1720.62,473.382,217.272,0.177135158,0.507985539,0.034943228,0.248427882
1588,379.488,114.68116,0.100389286,0.30729996,0.064927091,0.504193577
1313.76,532.8,306.78384,0.076860846,0.226642527,0.279841159,0.431241486
1266.82,399.861,366.79192,0.088463117,0.279578032,0.277610129,0.351113748
1622.06,546.814,181.93736,0.135958662,0.434899542,0.06366434,0.359812512
1773.56,321.792,79.51328,0.074114079,0.23279654,0.06273382,0.674617108
1528.8,463.246,287.51008,0.120891121,0.356699617,0.164345177,0.331368162
1607.55,312.832,236.52508,0.16298288,0.47935571,0.074269321,0.300750074
1812.69,460.215,406.2542,0.207902231,0.598093785,0.07945628,0.089652512
1664.19,380.585,312.2042,0.19592213,0.555535145,0.076805853,0.168161578
1325.76,481.65,131.94236,0.087914463,0.26059647,0.097548659,0.560708116
1384.32,330.72,267.0822,0.110391447,0.321729032,0.177013755,0.382890097
1578.24,437.28,54.67308,0.037981297,0.126847621,0.064318784,0.740729101
1704.3,382.833,158.47128,0.144492574,0.484806267,0.02923175,0.372876295
1494,529.442,342.76308,0.131329555,0.406169289,0.203761876,0.273082264
1404.81,338.208,110.09856,0.083688911,0.260895777,0.069000313,0.579144205
